l,Dl,dlm,dlp
2,225.895,132.369,533.062
3,936.92,450.471,1212.308
4,692.238,294.111,666.469
5,1501.705,574.432,1155.804
6,557.611,201.242,375.763
7,1152.643,381.584,670.824
8,615.846,191.997,323.446
9,697.821,214.638,349.581
10,803.658,232.846,367.945
11,869.58,240.26,371.043
12,764.074,204.951,310.576
13,599.003,158.593,235.581
14,808.139,199.37,290.751
15,1022.111,243.487,349.7
16,621.292,150.977,215.798
17,1035.378,236.167,332.095
18,674.593,156.341,216.872
19,951.642,211.554,290.997
20,659.863,144.78,197.637
21,601.924,136.05,185.258
22,605.295,131.698,177.041
23,748.519,155.938,208.7
24,850.496,175.6,233.216
25,814.268,169.433,224.306
26,823.803,164.398,215.355
27,1004.022,190.293,247.879
28,1149.889,215.09,279.078
29,979.567,183.071,236.655
30,1102.80565,274.694273,274.694273
4.77E+01,1.48E+03,5.08E+01,5.08E+01
7.65E+01,2.03E+03,5.47E+01,5.47E+01
1.06E+02,2.95E+03,6.50E+01,6.50E+01
1.36E+02,3.87E+03,7.69E+01,7.69E+01
1.65E+02,4.89E+03,8.66E+01,8.66E+01
1.95E+02,5.46E+03,9.06E+01,9.06E+01
2.25E+02,5.79E+03,8.71E+01,8.71E+01
2.55E+02,5.37E+03,7.69E+01,7.69E+01
2.85E+02,4.62E+03,6.25E+01,6.25E+01
3.15E+02,3.60E+03,4.72E+01,4.72E+01
3.45E+02,2.63E+03,3.39E+01,3.39E+01
3.75E+02,2.03E+03,2.48E+01,2.48E+01
4.05E+02,1.75E+03,2.07E+01,2.07E+01
4.35E+02,1.79E+03,2.07E+01,2.07E+01
4.65E+02,2.16E+03,2.28E+01,2.28E+01
4.95E+02,2.42E+03,2.50E+01,2.50E+01
5.25E+02,2.57E+03,2.59E+01,2.59E+01
5.55E+02,2.54E+03,2.51E+01,2.51E+01
5.85E+02,2.36E+03,2.27E+01,2.27E+01
6.15E+02,2.09E+03,1.99E+01,1.99E+01
6.45E+02,1.88E+03,1.75E+01,1.75E+01
6.75E+02,1.81E+03,1.64E+01,1.64E+01
7.05E+02,1.88E+03,1.68E+01,1.68E+01
7.35E+02,2.10E+03,1.82E+01,1.82E+01
7.65E+02,2.32E+03,1.97E+01,1.97E+01
7.95E+02,2.46E+03,2.07E+01,2.07E+01
8.25E+02,2.52E+03,2.05E+01,2.05E+01
8.55E+02,2.39E+03,1.90E+01,1.90E+01
8.85E+02,2.08E+03,1.66E+01,1.66E+01
9.15E+02,1.74E+03,1.37E+01,1.37E+01
9.45E+02,1.42E+03,1.11E+01,1.11E+01
9.75E+02,1.17E+03,9.29E+00,9.29E+00
1.00E+03,1.06E+03,8.38E+00,8.38E+00
1.03E+03,1.05E+03,8.30E+00,8.30E+00
1.06E+03,1.13E+03,8.69E+00,8.69E+00
1.09E+03,1.21E+03,9.11E+00,9.11E+00
1.12E+03,1.23E+03,9.26E+00,9.26E+00
1.15E+03,1.20E+03,8.99E+00,8.99E+00
1.18E+03,1.12E+03,8.33E+00,8.33E+00
1.21E+03,9.68E+02,7.55E+00,7.55E+00
1.24E+03,8.64E+02,6.64E+00,6.64E+00
1.27E+03,7.61E+02,5.99E+00,5.99E+00
1.30E+03,7.32E+02,5.69E+00,5.69E+00
1.33E+03,7.37E+02,5.72E+00,5.72E+00
1.36E+03,7.74E+02,5.94E+00,5.94E+00
1.39E+03,8.06E+02,6.17E+00,6.17E+00
1.42E+03,8.08E+02,6.26E+00,6.26E+00
1.45E+03,7.77E+02,6.11E+00,6.11E+00
1.48E+03,7.28E+02,5.75E+00,5.75E+00
1.51E+03,6.48E+02,5.24E+00,5.24E+00
1.54E+03,5.51E+02,4.72E+00,4.72E+00
1.57E+03,4.76E+02,4.30E+00,4.30E+00
1.60E+03,4.19E+02,4.04E+00,4.04E+00
1.63E+03,3.95E+02,3.97E+00,3.97E+00
1.66E+03,3.91E+02,4.03E+00,4.03E+00
1.69E+03,3.93E+02,4.17E+00,4.17E+00
1.72E+03,3.97E+02,4.32E+00,4.32E+00
1.75E+03,3.83E+02,4.42E+00,4.42E+00
1.78E+03,3.75E+02,4.46E+00,4.46E+00
1.81E+03,3.40E+02,4.46E+00,4.46E+00
1.84E+03,3.07E+02,4.46E+00,4.46E+00
1.87E+03,2.74E+02,4.49E+00,4.49E+00
1.90E+03,2.50E+02,4.60E+00,4.60E+00
1.93E+03,2.44E+02,4.78E+00,4.78E+00
1.96E+03,2.32E+02,5.03E+00,5.03E+00
1.99E+03,2.34E+02,5.43E+00,5.43E+00
2.02E+03,2.32E+02,5.87E+00,5.87E+00
2.05E+03,2.19E+02,6.20E+00,6.20E+00
2.08E+03,2.14E+02,6.53E+00,6.53E+00
2.11E+03,1.97E+02,6.87E+00,6.87E+00
2.14E+03,1.76E+02,7.24E+00,7.24E+00
2.17E+03,1.52E+02,7.64E+00,7.64E+00
2.20E+03,1.39E+02,8.11E+00,8.11E+00
2.23E+03,1.21E+02,8.65E+00,8.65E+00
2.26E+03,1.16E+02,9.26E+00,9.26E+00
2.29E+03,1.18E+02,9.94E+00,9.94E+00
2.32E+03,1.16E+02,1.07E+01,1.07E+01
2.35E+03,1.10E+02,1.15E+01,1.15E+01
2.38E+03,1.20E+02,1.24E+01,1.24E+01
2.41E+03,9.04E+01,1.33E+01,1.33E+01
2.44E+03,1.03E+02,1.44E+01,1.44E+01
2.47E+03,7.36E+01,1.55E+01,1.55E+01
2.50E+03,6.13E+01,2.09E+01,2.09E+01
